taps_from_fp,transition_1_to_2,transition_2_to_3,transition_3_to_4
13,1.81753994899665,3.83489084163622,3.74473761148662
13.5,2.04146056141028,4.51891031075129,3.99711415365026
14,1.78286874622542,4.36664192597176,3.49037222393499
14.5,1.15028796984344,3.47454241850082,2.81689915101535
15,0.373460796073969,2.2183604809076,1.72812739009282
15.5,0.665669704844349,1.03626185602066,0.944625120821107
16,1.40031579023477,1.02256246889728,0.701498414232249
16.5,1.94727301112935,1.64598217779408,1.41732938708323
17,2.02404299038243,1.93124631658132,1.76493066020573
17.5,1.81898265978865,1.82546240172812,2.03671881448822
18,1.37753116583358,1.54063077076003,1.63333861960223
18.5,0.936797200406087,1.14091066455396,1.18472142910036
19,0.461385398272473,0.722618801030371,0.489369593794484
19.5,0.06938087138337,0.417388312416444,0.161963184431924
20,0.27009877493726,0.518188745168845,0.436682953803862
20.5,0.591640361028494,0.885349022539548,0.853698694947539
21,0.696646905600277,1.37356068357929,1.52666358024648
21.5,0.771020738004808,1.81344552958568,2.23357605734578
22,0.579851851901269,2.09623077547889,2.74400802049814
22.5,0.279130972359593,2.00284591393591,3.03668849384167
23,0.222608328610205,1.54308369043607,2.57701766968304
23.5,0.72266503156546,0.751841232617112,1.99105460627383
24,0.939166837161717,0.188484787618542,1.1070293068581
24.5,1.00806804574795,0.675201708495259,0.860949780016936
25,0.679981365081673,0.802881368124094,0.897428591411995
25.5,0.40169238288063,0.496951850049935,1.04982165703592
26,0.690806653998821,0.347366465827173,1.16101566296632
26.5,1.09505308942375,0.854925098663159,1.46188897923857
27,1.12409304019133,1.22687416873581,1.85036578903373
27.5,0.804600564711604,1.12599970587096,2.00366740568382
28,0.4940895190643,0.892169176918195,1.70052461080602
28.5,0.581582675916026,0.970398202445461,1.39332205298646
29,0.778141589239214,1.33618194113894,0.962508972413854
29.5,0.881535406186724,1.54759238674966,0.955602224478379
30,0.773695200635372,1.50129368306053,0.850715774643837
30.5,0.589594773544702,1.29447916788248,1.00425815980119
31,0.637753547271381,1.19444223124404,1.30562053377908
31.5,0.864392858313664,1.4041977220689,1.80782384002517
32,1.04660328958499,1.64738393000634,2.08707892676823
32.5,1.10707178817283,1.72880621910696,2.33676719968451
33,1.02457687892811,1.59466672221482,2.00025142114284
33.5,0.873098242402767,1.36387307288248,1.72176331133171
34,0.784041827356863,1.19172858977629,1.38193058693199
34.5,0.819581492559846,1.15845010412701,1.45888182625339
35,0.718084431761748,1.13628116819669,1.39172159142266
35.5,0.581724504636407,1.1375974326175,1.53964017386076
36,0.519248775741975,1.17508664889,1.49137696005537
