FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv,elapsed_s
184,74039083817,746.1562,746,1225,-63.02,696,0.7,150,01_raw_frames\frame_0184.csv,02_lde_aligned\frame_0184_aligned.csv,18.3001068274395
185,80428878928,751.2344,751,1454,-67.55,701,0.7,150,01_raw_frames\frame_0185.csv,02_lde_aligned\frame_0185_aligned.csv,18.4001073769281
186,86818673531,748.3906,748,1185,-62.95,698,0.7,150,01_raw_frames\frame_0186.csv,02_lde_aligned\frame_0186_aligned.csv,18.5001079184664
187,93208468608,753.2656,753,1410,-63.22,703,0.7,150,01_raw_frames\frame_0187.csv,02_lde_aligned\frame_0187_aligned.csv,18.6001084674229
188,99598263698,749.375,749,1165,-62.8,699,0.7,150,01_raw_frames\frame_0188.csv,02_lde_aligned\frame_0188_aligned.csv,18.7001090165828
189,105988058798,752.5,752,1273,-64.92,702,0.7,150,01_raw_frames\frame_0189.csv,02_lde_aligned\frame_0189_aligned.csv,18.8001095658992
190,112377853835,749.2031,749,1340,-64.63,699,0.7,150,01_raw_frames\frame_0190.csv,02_lde_aligned\frame_0190_aligned.csv,18.9001101142296
191,118767648836,752.25,752,1618,-70,702,0.7,150,01_raw_frames\frame_0191.csv,02_lde_aligned\frame_0191_aligned.csv,19.0001106619967
192,125157443389,747.7187,747,1225,-63,697,0.7,150,01_raw_frames\frame_0192.csv,02_lde_aligned\frame_0192_aligned.csv,19.1001112027525
193,131547238372,750.2187,750,1323,-64.97,700,0.7,150,01_raw_frames\frame_0193.csv,02_lde_aligned\frame_0193_aligned.csv,19.2001117502379
194,137937033306,753.25,753,1512,-67.03,703,0.7,150,01_raw_frames\frame_0194.csv,02_lde_aligned\frame_0194_aligned.csv,19.3001122969564
195,144326828326,747.1406,747,1709,-69.52,697,0.7,150,01_raw_frames\frame_0195.csv,02_lde_aligned\frame_0195_aligned.csv,19.4001128450208
196,150716623268,749.2031,749,1388,-68.65,699,0.7,150,01_raw_frames\frame_0196.csv,02_lde_aligned\frame_0196_aligned.csv,19.5001133918645
197,157106417703,750.4062,750,1437,-65.4,700,0.7,150,01_raw_frames\frame_0197.csv,02_lde_aligned\frame_0197_aligned.csv,19.6001139307736
198,163496212614,752.4375,752,1092,-62.09,702,0.7,150,01_raw_frames\frame_0198.csv,02_lde_aligned\frame_0198_aligned.csv,19.7001144771322
199,169886007505,746.1875,746,1221,-65.14,696,0.7,150,01_raw_frames\frame_0199.csv,02_lde_aligned\frame_0199_aligned.csv,19.8001150231777
200,176275802361,745.9219,745,1205,-64.93,695,0.7,150,01_raw_frames\frame_0200.csv,02_lde_aligned\frame_0200_aligned.csv,19.9001155686755
201,182665596700,747.5781,747,1097,-63.48,697,0.7,150,01_raw_frames\frame_0201.csv,02_lde_aligned\frame_0201_aligned.csv,20.0001161060822
202,189055391529,747.4687,747,1268,-70.72,697,0.7,150,01_raw_frames\frame_0202.csv,02_lde_aligned\frame_0202_aligned.csv,20.1001166511575
203,195445186379,747.375,747,1381,-71.01,697,0.7,150,01_raw_frames\frame_0203.csv,02_lde_aligned\frame_0203_aligned.csv,20.2001171965614
