taps_from_fp,mti_mean_abs_frame_difference,background_mti_mean,threshold,detected_peak
-16.5,0.101166564234693,0.0925621734062489,0.890640633132122,0
-16,0.104541507438775,0.0902462761562487,0.890640633132122,0
-15.5,0.102317740806123,0.0892358229062498,0.890640633132122,0
-15,0.0949155489081637,0.0725361633854183,0.890640633132122,0
-14.5,0.113954605989795,0.0791063950937448,0.890640633132122,0
-14,0.131395530622449,0.0893866498645813,0.890640633132122,0
-13.5,0.138907205061222,0.109993009260417,0.890640633132122,0
-13,0.145395036530613,0.100448206302083,0.890640633132122,0
-12.5,0.124882002438777,0.074150809541667,0.890640633132122,0
-12,0.0774076621122458,0.0530309712083343,0.890640633132122,0
-11.5,0.0775407503163267,0.0878332663020839,0.890640633132122,0
-11,0.0871896807244891,0.0920184998229169,0.890640633132122,0
-10.5,0.0930795543265278,0.0859883041666644,0.890640633132122,0
-10,0.0645006975306124,0.0695850542291632,0.890640633132122,0
-9.5,0.0701136113061224,0.0690546773229174,0.890640633132122,0
-9,0.0835015539591832,0.073770862260417,0.890640633132122,0
-8.5,0.0947956241224485,0.0850265327499999,0.890640633132122,0
-8,0.102455311959185,0.0900544768541659,0.890640633132122,0
-7.5,0.0987409751734698,0.0814943358229157,0.890640633132122,0
-7,0.0714518620918365,0.056645499260416,0.890640633132122,0
-6.5,0.0671389105408167,0.0625507820000001,0.890640633132122,0
-6,0.0797186537653071,0.0715671388958339,0.890640633132122,0
-5.5,0.0855034318673466,0.0817661465937495,0.890640633132122,0
-5,0.075646064255102,0.0626190190520828,0.890640633132122,0
-4.5,0.0772558440714283,0.0694172475729166,0.890640633132122,0
-4,0.0802946209489801,0.0767475946770834,0.890640633132122,0
-3.5,0.0757521404387759,0.0751457963124999,0.890640633132122,0
-3,0.0708414931734704,0.0626361651875001,0.890640633132122,0
-2.5,0.0811106094081632,0.07175101128125,0.890640633132122,0
-2,0.0976100946530653,0.0782188669479165,0.890640633132122,0
-1.5,0.19283628113266,0.194190828479164,0.890640633132122,0
-1,0.495988282581659,0.359235329374987,0.890640633132122,0
-0.5,0.715993622632578,0.790231940062419,0.890640633132122,0
0,0.514607865244972,0.586204009333265,0.890640633132122,0
0.5,0.741927181285737,0.560555595364579,0.890640633132122,0
1,0.516545989979593,0.500172132885385,0.890640633132122,0
1.5,0.219635107520421,0.17550640355208,0.890640633132122,0
2,0.152344230520409,0.156004829135418,0.890640633132122,0
2.5,0.161444173193885,0.160999924697914,0.890640633132122,0
3,0.642994678030657,0.202277904510403,0.890640633132122,0
3.5,1.34907186078569,0.333313299364588,0.890640633132122,0
4,2.72653344054083,0.423183596822924,0.890640633132122,1
4.5,2.527374705449,0.467924638822928,0.890640633132122,0
5,1.4255560686735,0.596231917135416,0.890640633132122,0
5.5,1.19799008442856,0.9644315185104,0.890640633132122,0
6,1.34191574991843,1.05763418861464,0.890640633132122,0
6.5,2.06823962376527,1.6920404631771,0.890640633132122,1
7,1.63033940282654,0.801475372968761,0.890640633132122,0
7.5,1.70663488108165,0.478982776250023,0.890640633132122,0
8,1.25856234804082,0.382618872291665,0.890640633132122,0
8.5,1.15498050278573,0.528660163718714,0.890640633132122,0
9,1.27717859956132,0.59357413882285,0.890640633132122,0
9.5,1.56368312536733,0.81406025772918,0.890640633132122,1
10,1.40127773648983,0.646934594812412,0.890640633132122,0
10.5,1.24267263537759,0.350091132958339,0.890640633132122,0
11,1.33164540682653,0.434280830416647,0.890640633132122,0
11.5,0.894266398898006,0.535429195760414,0.890640633132122,0
12,0.942184071755152,0.373383928656274,0.890640633132122,1
12.5,0.870208402806149,0.42216445656255,0.890640633132122,0
13,0.600023886438825,0.386527064854127,0.890640633132122,0
13.5,0.592577338438779,0.415107965281276,0.890640633132122,0
14,0.485117264642878,0.293912272677078,0.890640633132122,0
14.5,0.498437270642866,0.281081527739584,0.890640633132122,0
15,0.374863897255111,0.273869325739603,0.890640633132122,0
15.5,0.428068468122412,0.280517796572865,0.890640633132122,0
16,0.572916966877535,0.363868948177086,0.890640633132122,0
16.5,0.707773535734676,0.374310667916634,0.890640633132122,0
17,0.71606611193875,0.196178379583318,0.890640633132122,0
17.5,0.681804221306104,0.232872453520853,0.890640633132122,0
18,0.636908939224512,0.317533070833332,0.890640633132122,0
18.5,0.86724062496937,0.575205050677097,0.890640633132122,0
19,1.09375919188779,0.880116820052061,0.890640633132122,1
19.5,0.867626904428552,0.593216139895637,0.890640633132122,0
20,0.602437500877537,0.5788377897498,0.890640633132122,0
20.5,0.780257017244852,0.596258125916731,0.890640633132122,0
21,0.941045454387787,0.509856737583339,0.890640633132122,0
21.5,0.902082379010186,0.713826051729042,0.890640633132122,0
22,0.685748988418469,0.704851223874796,0.890640633132122,0
